Time,Left Found,Left Calibrated,Left Pupil Diameter (mm),Left Pupil Pos X,Left Pupil Pos Y,Left Glint1 Pos X,Left Glint1 Pos Y,Left Glint2 Pos X,Left Glint2 Pos Y,Left Gaze Point X,Left Gaze Point Y,Right Found,Right Calibrated,Right Pupil Diameter (mm),Right Pupil Pos X,Right Pupil Pos Y,Right Glint1 Pos X,Right Glint1 Pos Y,Right Glint2 Pos X,Right Glint2 Pos Y,Right Gaze Point X,Right Gaze Point Y
4282391.910,true,true,6.107,282.663,340.184,271.766,338.189,288.519,338.043,821,510,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
4282425.025,true,true,3.529,282.880,337.873,271.780,338.152,288.499,338.077,821,503,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
4282458.571,true,true,3.207,282.745,339.442,271.717,338.247,288.404,338.104,821,497,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
4282491.721,true,true,3.352,282.541,339.484,271.505,338.029,288.143,338.205,821,496,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
4282525.168,true,true,4.802,282.135,340.079,271.050,338.180,287.857,338.248,820,496,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
4282558.348,false,true,4.802,282.135,340.079,271.050,338.180,287.857,338.248,820,496,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
4282591.719,true,true,3.771,281.142,340.383,270.031,338.442,286.938,338.491,820,496,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
4282624.971,true,true,3.126,280.714,340.231,269.546,338.498,286.105,338.553,816,497,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
4282658.552,true,true,3.190,280.311,340.581,269.400,338.520,285.989,338.633,816,497,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
4282691.720,false,true,3.190,280.311,340.581,269.400,338.520,285.989,338.633,816,497,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
4282725.152,true,true,4.415,279.407,339.589,268.360,338.514,284.991,338.652,816,496,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
4282758.357,true,true,5.237,278.726,340.288,267.521,338.489,284.103,338.502,815,496,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
4282791.784,true,true,3.335,278.236,340.167,266.926,338.659,283.737,338.920,814,496,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
4282824.973,true,true,-1.000,277.540,340.345,266.493,339.025,283.232,339.129,813,496,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
4282858.334,true,true,3.835,277.622,340.820,266.450,339.519,283.026,339.603,812,496,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
4282891.901,false,true,3.835,277.622,340.820,266.450,339.519,283.026,339.603,812,496,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
4282925.125,true,true,3.319,276.525,341.930,265.811,340.294,282.722,340.226,812,501,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
4282958.504,true,true,5.043,276.401,342.036,265.796,340.315,282.649,340.370,812,501,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
4282991.830,false,true,5.043,276.401,342.036,265.796,340.315,282.649,340.370,812,501,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
4283025.119,true,true,5.285,276.259,341.590,265.794,340.093,282.438,340.052,812,496,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
4283058.338,true,true,3.110,276.359,343.070,265.760,340.243,282.447,340.067,812,501,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
4283091.879,true,true,3.190,276.144,341.517,265.696,340.255,282.248,340.189,812,501,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
4283125.113,true,true,4.592,275.997,342.576,265.500,340.353,282.050,340.368,812,504,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
4283158.238,true,true,3.158,275.892,342.465,265.439,340.451,282.001,340.456,812,510,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
4283191.612,true,true,4.206,275.665,342.937,265.023,340.472,281.940,340.603,814,511,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
4283224.964,true,true,4.093,272.631,343.684,263.224,340.825,279.933,340.912,814,520,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
4283258.236,true,true,-1.000,271.849,343.365,262.532,341.366,279.132,341.320,820,520,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
4283291.862,false,true,-1.000,271.849,343.365,262.532,341.366,279.132,341.320,820,520,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
4283325.108,true,true,4.576,270.363,344.064,261.039,341.577,277.919,341.768,820,522,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
