Time,Left Found,Left Calibrated,Left Pupil Diameter (mm),Left Pupil Pos X,Left Pupil Pos Y,Left Glint1 Pos X,Left Glint1 Pos Y,Left Glint2 Pos X,Left Glint2 Pos Y,Left Gaze Point X,Left Gaze Point Y,Right Found,Right Calibrated,Right Pupil Diameter (mm),Right Pupil Pos X,Right Pupil Pos Y,Right Glint1 Pos X,Right Glint1 Pos Y,Right Glint2 Pos X,Right Glint2 Pos Y,Right Gaze Point X,Right Gaze Point Y
4598086.347,false,true,7.348,476.357,283.781,464.409,281.647,481.956,281.775,787,549,false,false,-1.000,14.365,277.578,7.513,274.989,25.863,275.445,0,0
4598119.846,true,true,-1.000,477.079,284.301,465.051,282.250,482.669,282.312,787,549,false,false,-1.000,14.365,277.578,7.513,274.989,25.863,275.445,0,0
4598153.149,true,true,-1.000,477.104,284.216,465.207,282.595,482.779,282.579,787,549,false,false,-1.000,14.365,277.578,7.513,274.989,25.863,275.445,0,0
4598186.377,true,true,-1.000,477.421,284.982,465.312,282.903,482.966,282.956,787,550,false,false,-1.000,14.365,277.578,7.513,274.989,25.863,275.445,0,0
4598219.816,true,true,2.933,477.497,285.172,465.597,283.216,483.018,283.195,786,550,false,false,-1.000,14.365,277.578,7.513,274.989,25.863,275.445,0,0
4598253.002,true,true,-1.000,477.546,285.561,465.620,283.490,483.090,283.550,782,550,false,false,-1.000,14.365,277.578,7.513,274.989,25.863,275.445,0,0
4598286.539,true,true,2.933,477.310,285.663,465.490,283.497,482.947,283.619,780,550,false,false,-1.000,14.365,277.578,7.513,274.989,25.863,275.445,0,0
4598319.790,false,true,2.933,477.310,285.663,465.490,283.497,482.947,283.619,780,550,false,false,-1.000,14.365,277.578,7.513,274.989,25.863,275.445,0,0
4598353.121,true,true,2.804,476.929,285.610,464.958,283.654,482.501,283.559,779,550,false,false,-1.000,14.365,277.578,7.513,274.989,25.863,275.445,0,0
4598386.399,false,true,2.804,476.929,285.610,464.958,283.654,482.501,283.559,779,550,false,false,-1.000,14.365,277.578,7.513,274.989,25.863,275.445,0,0
