Time,Left Found,Left Calibrated,Left Pupil Diameter (mm),Left Pupil Pos X,Left Pupil Pos Y,Left Glint1 Pos X,Left Glint1 Pos Y,Left Glint2 Pos X,Left Glint2 Pos Y,Left Gaze Point X,Left Gaze Point Y,Right Found,Right Calibrated,Right Pupil Diameter (mm),Right Pupil Pos X,Right Pupil Pos Y,Right Glint1 Pos X,Right Glint1 Pos Y,Right Glint2 Pos X,Right Glint2 Pos Y,Right Gaze Point X,Right Gaze Point Y
258918.470,true,true,3.352,286.502,359.639,276.092,357.942,292.063,358.023,790,533,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
258951.520,true,true,3.658,285.575,365.425,275.192,357.945,291.162,358.000,790,533,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
258985.435,true,true,3.690,284.777,359.910,274.271,357.813,290.273,357.886,793,533,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
259018.478,true,true,3.964,284.160,359.592,273.483,357.835,289.498,357.780,793,533,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
259052.008,true,true,3.480,283.181,359.695,272.660,357.929,288.709,357.971,793,533,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
259085.245,true,true,3.738,282.343,361.628,271.953,358.297,287.988,358.384,793,542,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
259118.498,false,true,3.738,282.343,361.628,271.953,358.297,287.988,358.384,793,542,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
259151.804,true,true,4.077,282.312,360.476,271.725,358.644,287.769,358.706,794,542,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
259185.399,true,true,3.416,282.062,359.872,271.346,358.425,287.422,358.636,797,542,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
259218.601,true,true,3.642,281.134,360.493,270.975,358.549,286.922,358.713,797,542,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
259251.969,true,true,4.544,280.770,360.917,270.104,358.633,286.230,358.786,799,542,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
259285.358,true,true,3.529,280.271,360.907,269.695,358.885,285.789,358.953,799,542,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
259318.376,true,true,3.787,280.108,359.027,269.137,357.899,285.115,358.145,799,542,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
259351.781,true,true,3.529,278.963,357.871,268.348,357.087,284.378,357.401,799,542,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
259385.325,true,true,3.674,278.406,356.229,267.915,357.323,283.688,357.472,800,533,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
259418.417,true,true,3.658,277.855,358.182,267.046,357.500,283.137,357.805,800,533,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
259451.790,true,true,3.625,277.269,358.439,266.597,357.878,282.487,357.874,800,533,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
259485.074,true,true,4.125,276.557,358.153,265.868,357.849,281.832,358.001,801,533,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
259518.590,true,true,4.125,276.000,357.784,265.102,357.890,281.041,358.029,801,532,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
259551.986,true,true,3.609,274.964,358.127,264.383,357.910,280.251,357.977,806,532,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
259585.351,true,true,4.302,274.158,358.869,263.595,358.029,279.506,358.184,806,530,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
259618.319,true,true,3.561,273.315,356.873,262.822,358.531,278.560,358.592,806,530,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
259651.774,true,true,4.206,272.580,359.242,261.845,359.022,277.820,359.112,806,518,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
259685.162,true,true,4.222,272.074,358.723,261.228,359.226,277.161,359.363,806,515,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
259718.326,true,true,3.642,271.315,359.411,260.728,359.071,276.682,359.250,806,515,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
259751.957,true,true,3.835,270.710,359.271,260.101,359.194,275.887,359.194,806,467,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
259785.358,false,true,3.835,270.710,359.271,260.101,359.194,275.887,359.194,806,467,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
259818.413,false,true,3.835,270.710,359.271,260.101,359.194,275.887,359.194,806,467,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
259851.976,true,true,3.867,268.563,359.780,257.931,359.736,273.775,359.854,806,449,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
259885.170,true,true,3.642,268.244,359.936,257.485,359.949,273.256,359.927,806,412,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
259918.617,true,true,3.497,267.488,359.896,256.921,359.840,272.799,359.977,806,364,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
259952.093,true,true,3.561,266.711,359.924,256.268,359.963,272.112,359.972,806,337,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
259985.350,true,true,5.140,266.391,359.733,255.863,359.803,271.642,359.833,809,326,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
260018.422,true,true,3.368,266.191,360.120,255.671,359.748,271.348,359.749,806,318,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
260051.960,true,true,4.238,266.252,360.021,255.585,359.928,271.324,359.889,806,288,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
260085.346,true,true,3.964,266.138,359.111,255.620,359.898,271.295,359.781,806,262,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
260118.401,true,true,4.173,266.085,359.402,255.730,359.740,271.478,359.755,809,257,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
260151.833,true,true,4.012,266.264,359.399,255.803,359.892,271.618,359.936,809,248,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
260185.207,true,true,3.480,266.529,360.188,255.990,360.152,271.833,360.185,809,246,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
260218.570,false,true,3.480,266.529,360.188,255.990,360.152,271.833,360.185,809,246,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
260251.956,true,true,5.027,267.359,360.162,256.893,360.323,272.549,360.489,810,233,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
260285.176,true,true,3.948,267.502,359.970,257.089,360.283,272.876,360.311,811,226,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
260318.604,false,true,3.948,267.502,359.970,257.089,360.283,272.876,360.311,811,226,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
260351.955,true,true,4.157,267.573,360.078,256.987,360.214,272.792,360.223,810,213,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
260385.107,true,true,3.545,267.351,360.039,256.827,360.175,272.591,360.353,811,208,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
260418.389,true,true,3.964,267.113,360.179,256.696,360.107,272.520,360.387,813,206,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
260451.841,false,true,3.964,267.113,360.179,256.696,360.107,272.520,360.387,813,206,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
260485.145,true,true,4.625,266.880,359.921,256.255,360.160,272.034,360.226,813,205,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
260518.570,true,true,3.722,266.754,359.921,256.034,360.284,271.822,360.260,811,200,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
260551.770,true,true,4.963,266.318,360.047,255.814,360.177,271.528,360.411,811,200,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
260585.342,true,true,4.206,266.286,360.509,255.640,360.164,271.417,360.491,811,200,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
260618.306,false,true,4.206,266.286,360.509,255.640,360.164,271.417,360.491,811,200,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
260651.942,false,true,4.206,266.286,360.509,255.640,360.164,271.417,360.491,811,200,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
260685.132,true,true,3.787,266.031,360.329,255.295,360.255,271.195,360.386,811,200,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
260718.475,true,true,3.609,265.775,360.321,255.049,360.634,270.933,360.662,811,195,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
260751.678,false,true,3.609,265.775,360.321,255.049,360.634,270.933,360.662,811,195,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
260785.332,true,true,3.722,267.451,360.216,255.959,360.838,271.750,361.011,811,195,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
260818.300,true,true,3.368,268.224,359.898,256.825,360.879,272.571,361.044,810,190,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
260851.950,true,true,4.786,268.393,360.908,257.235,361.021,273.030,361.133,810,178,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
260885.146,true,true,3.529,268.894,360.904,257.455,360.990,273.164,361.064,806,178,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
260918.630,true,true,5.430,268.866,360.847,257.420,360.849,273.176,360.921,806,178,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
260952.000,true,true,4.544,268.777,360.414,257.502,360.774,273.241,360.789,806,178,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
260985.339,false,true,4.544,268.777,360.414,257.502,360.774,273.241,360.789,806,178,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
261018.407,true,true,4.512,268.908,360.044,257.457,360.516,273.276,360.656,805,177,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
261051.884,false,true,4.512,268.908,360.044,257.457,360.516,273.276,360.656,805,177,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
261085.137,false,true,4.512,268.908,360.044,257.457,360.516,273.276,360.656,805,177,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
261118.586,false,true,4.512,268.908,360.044,257.457,360.516,273.276,360.656,805,177,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
261151.681,true,true,3.432,266.321,360.204,255.005,360.850,270.990,360.979,805,168,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
261185.315,true,true,3.126,265.744,358.289,254.301,360.924,270.166,360.951,802,159,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
261218.374,true,true,3.335,264.766,360.563,253.599,360.831,269.289,360.946,802,154,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
261252.001,true,true,4.061,264.182,360.267,252.794,360.773,268.527,360.764,802,154,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
261285.136,true,true,4.206,263.264,359.876,251.986,360.652,267.883,360.749,798,148,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
261318.290,false,true,4.206,263.264,359.876,251.986,360.652,267.883,360.749,798,148,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
261351.747,true,true,4.689,261.994,359.979,250.759,360.984,266.575,361.327,797,137,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
261385.421,true,true,4.222,261.703,361.474,250.520,361.176,266.327,361.522,796,137,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
261418.337,true,true,3.835,261.853,360.859,250.707,361.353,266.370,361.580,796,136,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
261451.683,true,true,3.207,261.711,360.161,250.655,361.301,266.376,361.581,763,136,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
261485.117,true,true,3.819,261.978,359.868,250.276,361.251,266.166,361.521,749,136,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
261518.556,true,true,3.674,261.162,360.629,250.154,361.260,265.929,361.402,749,136,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
261551.928,true,true,3.239,260.635,361.592,249.924,361.657,265.629,361.705,749,136,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
261585.299,false,true,3.239,260.635,361.592,249.924,361.657,265.629,361.705,749,136,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
261618.559,false,true,3.239,260.635,361.592,249.924,361.657,265.629,361.705,749,136,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
261651.710,true,true,3.255,260.506,361.421,249.957,361.621,265.760,361.731,749,136,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
261685.134,false,true,3.255,260.506,361.421,249.957,361.621,265.760,361.731,749,136,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
261718.568,true,true,5.156,260.184,361.380,249.207,361.518,265.108,361.637,749,136,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
261751.748,true,true,3.255,259.891,361.357,249.045,361.417,264.873,361.540,749,136,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
261785.112,true,true,4.173,259.600,361.339,248.952,361.427,264.608,361.500,749,136,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
261818.289,true,true,3.803,259.458,361.336,248.691,361.461,264.417,361.616,749,136,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
261851.927,true,true,4.254,259.112,361.245,248.217,361.663,264.104,361.762,749,130,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
261885.258,true,true,3.609,258.702,361.730,247.996,361.534,263.729,361.596,749,136,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
261918.631,true,true,3.690,258.346,362.215,247.673,361.187,263.408,361.496,749,136,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
261951.735,false,true,3.690,258.346,362.215,247.673,361.187,263.408,361.496,749,136,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
261985.291,true,true,3.609,257.785,361.485,247.003,361.542,262.721,361.649,749,136,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
262018.369,true,true,5.414,258.183,361.612,247.343,361.885,263.138,361.946,749,136,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
262051.938,true,true,3.352,259.139,361.694,248.415,361.983,264.224,362.026,749,139,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
262085.295,true,true,3.513,260.725,361.498,249.899,361.935,265.720,362.046,763,139,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
262118.560,true,true,4.657,262.250,362.039,251.543,362.023,267.396,362.068,766,139,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
262151.735,true,true,3.706,263.359,364.070,252.480,362.881,268.350,362.878,767,139,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
262185.298,false,true,3.706,263.359,364.070,252.480,362.881,268.350,362.878,767,139,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
262218.566,true,true,3.722,264.925,364.784,254.199,362.765,270.227,362.846,774,139,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
262251.771,true,true,4.012,265.485,364.337,254.969,362.499,270.755,362.621,781,139,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
262285.121,true,true,3.561,265.686,364.222,254.987,362.452,270.888,362.646,782,152,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
262318.538,true,true,3.545,265.477,362.702,254.789,362.586,270.661,362.639,782,163,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
262351.951,false,true,3.545,265.477,362.702,254.789,362.586,270.661,362.639,782,163,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
262385.427,true,true,3.513,264.433,365.043,253.709,363.002,269.812,363.095,783,164,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
262418.391,true,true,5.366,263.741,364.372,252.954,362.871,269.026,363.036,784,181,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
262451.928,false,true,5.366,263.741,364.372,252.954,362.871,269.026,363.036,784,181,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
262485.124,true,true,3.303,261.525,365.060,250.777,362.950,266.818,363.110,784,181,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
262518.362,true,true,4.012,260.291,364.162,249.466,363.038,265.574,363.315,785,183,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
262551.932,true,true,3.883,258.818,365.537,248.075,363.239,264.124,363.412,785,188,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
262585.068,true,true,3.658,257.600,365.750,246.905,363.382,262.862,363.617,785,207,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
262618.550,true,true,3.916,256.949,365.621,245.998,363.310,261.989,363.607,785,207,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
262651.746,false,true,3.916,256.949,365.621,245.998,363.310,261.989,363.607,785,207,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
262685.115,true,true,3.255,257.203,366.822,245.891,365.179,261.559,365.595,785,228,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
262718.450,true,true,3.867,257.811,369.596,246.557,365.240,262.023,365.658,785,245,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
262751.924,true,true,3.287,258.668,367.160,247.258,365.002,263.126,365.342,785,389,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
262785.309,true,true,3.335,259.471,369.040,248.073,364.707,263.868,364.952,785,405,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
262818.277,true,true,3.352,259.859,368.678,248.876,364.290,264.320,364.830,785,448,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
262851.904,true,true,3.239,260.309,368.515,249.230,364.014,264.946,364.270,784,482,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
262885.307,true,true,3.319,260.755,366.130,249.716,363.952,265.337,364.124,784,503,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
262918.272,true,true,3.497,261.333,368.536,250.286,363.937,266.036,364.217,784,527,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
262951.747,true,true,3.303,261.558,366.270,250.592,364.117,266.174,364.261,784,545,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
262985.102,true,true,3.303,261.440,368.809,250.398,364.326,266.069,364.397,783,573,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
263018.531,true,true,3.352,260.862,367.076,249.981,364.487,265.636,364.671,783,573,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
263051.729,true,true,3.738,260.085,369.143,249.234,364.681,264.837,364.752,782,580,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
263085.061,true,true,3.497,258.090,369.627,247.812,364.934,263.479,365.037,781,591,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
263118.536,true,true,3.416,257.266,371.176,246.975,365.087,262.795,365.157,780,605,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
263151.734,true,true,3.448,256.460,369.497,246.202,365.300,262.002,365.304,780,607,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
263185.292,true,true,3.899,255.665,370.643,245.396,365.462,261.023,365.455,774,607,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
263218.565,true,true,3.432,254.616,370.619,244.408,365.541,260.008,365.709,774,609,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
263251.730,true,true,3.448,253.468,370.219,243.368,365.613,258.969,365.847,774,615,false,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
