Time,Left Found,Left Calibrated,Left Pupil Diameter (mm),Left Pupil Pos X,Left Pupil Pos Y,Left Glint1 Pos X,Left Glint1 Pos Y,Left Glint2 Pos X,Left Glint2 Pos Y,Left Gaze Point X,Left Gaze Point Y,Right Found,Right Calibrated,Right Pupil Diameter (mm),Right Pupil Pos X,Right Pupil Pos Y,Right Glint1 Pos X,Right Glint1 Pos Y,Right Glint2 Pos X,Right Glint2 Pos Y,Right Gaze Point X,Right Gaze Point Y
411215.904,false,true,4.093,132.909,322.764,121.948,321.073,138.416,321.486,796,543,false,false,-1.000,14.547,322.667,7.690,318.965,24.768,319.413,0,0
411249.283,true,true,4.367,132.483,324.206,121.548,321.540,138.181,322.069,796,543,false,false,-1.000,14.547,322.667,7.690,318.965,24.768,319.413,0,0
411282.295,true,true,4.125,132.434,323.665,121.506,321.609,137.988,322.211,796,528,false,false,-1.000,14.547,322.667,7.690,318.965,24.768,319.413,0,0
411315.880,true,true,3.964,132.308,321.701,121.492,321.632,137.860,322.164,796,527,false,false,-1.000,14.547,322.667,7.690,318.965,24.768,319.413,0,0
411349.375,true,true,4.463,131.992,323.940,121.324,321.735,137.665,322.055,796,527,false,false,-1.000,14.547,322.667,7.690,318.965,24.768,319.413,0,0
411382.581,false,true,4.463,131.992,323.940,121.324,321.735,137.665,322.055,796,527,false,false,-1.000,14.547,322.667,7.690,318.965,24.768,319.413,0,0
411415.827,true,true,3.964,131.861,323.588,121.066,322.349,137.534,322.983,800,524,false,false,-1.000,14.547,322.667,7.690,318.965,24.768,319.413,0,0
411449.202,true,true,4.189,132.362,324.331,121.516,322.532,137.974,322.984,801,503,false,false,-1.000,14.547,322.667,7.690,318.965,24.768,319.413,0,0
411482.770,true,true,4.028,132.857,324.590,122.186,322.656,138.534,323.024,801,503,false,false,-1.000,14.547,322.667,7.690,318.965,24.768,319.413,0,0
411516.028,true,true,4.109,133.094,324.826,122.470,322.600,138.749,323.087,804,503,false,false,-1.000,14.547,322.667,7.690,318.965,24.768,319.413,0,0
411549.200,true,true,4.963,133.328,324.721,122.368,322.750,138.992,323.324,804,503,false,false,-1.000,14.547,322.667,7.690,318.965,24.768,319.413,0,0
